,ZipCode,BuildingCategoryNum,BuildingClassAtTimeOfSale,TaxClassAtTimeOfSale,Baths,Beds,YearBuilt,NumComplaints3moPointOneMile,NumFelonies3moPointOneMile,min_dist_park,min_dist_subway,halfMileAvgPrice6mo,SalePrice
0,10014,10,D4,2,1,1,1925,23,7,0.68977992,0.297014166,2338579.64,760000
1,10014,17,R9,2,1,1,1925,0,8,0.465987594,0.197643081,,850000
2,10014,17,R9,2,1,0,1930,52,60,0.285877608,0.065508759,2251045.91,560000
3,10027,1,A5,1,6,5,1901,15,6,0.212777809,0.201120452,994845.41,2625000
4,10027,2,B1,1,5,4,1899,13,24,0.312703458,0.165961219,930428.54,3400000
5,10035,3,C0,1,5,7,2001,5,7,0.221595402,0.198974179,1095016.53,2150000
6,10037,9,C6,2,1,2,1920,0,24,0.368754389,0.326871524,,235000
7,10035,10,D4,2,2,2,2001,5,5,0.162319161,0.253302389,1092972.16,600000
8,10035,10,D4,2,2,2,2001,7,5,0.162319161,0.253302389,1148582.8,765000
9,10035,10,D4,2,2,2,2001,8,4,0.162319161,0.253302389,1178088.44,838000
10,10035,10,D4,2,1,2,1994,0,16,0.116236857,0.210432405,,369000
11,10029,1,A5,1,3,4,1890,14,17,0.235083657,0.141579735,1664997.96,3900000
12,10029,9,C6,2,1,1,1930,0,10,0.324559118,0.075898724,,200000
13,10029,9,C6,2,1,0,1930,7,22,0.319441168,0.072391915,1578122.64,218000
14,10029,9,C6,2,1,1,1930,0,14,0.319441168,0.072391915,,218000
15,10029,9,C6,2,1,1,1930,0,24,0.319441168,0.072391915,,300000
16,10029,9,C6,2,1,0,1910,0,11,0.222666607,0.125031452,,435000
17,10035,9,C6,2,1,2,1900,19,15,0.291216496,0.448205412,797464.86,230000
18,10035,10,D4,2,2,2,2009,18,61,0.381687022,0.094391864,1016626.48,951000
19,10034,9,C6,2,1,2,1918,0,7,0.25019831,0.192015879,442500,530000
20,10034,10,D4,2,1,1,1952,0,14,0.366878922,0.15016465,,355000
21,10034,10,D4,2,1,1,1952,4,7,0.366878922,0.15016465,492833.33,375000
22,10034,10,D4,2,1,2,1925,18,10,0.288006742,0.208255687,404400,560000
23,10034,10,D4,2,1,2,1952,5,6,0.366878922,0.15016465,452638.89,567000
24,10034,10,D4,2,1,2,1925,0,15,0.288006742,0.208255687,,580000
25,10034,10,D4,2,2,3,1925,8,14,0.288006742,0.208255687,455000,731000
26,10034,10,D4,2,2,3,1952,0,12,0.366878922,0.15016465,,779000
27,10034,10,D4,2,2,3,1925,67,14,0.288006742,0.208255687,602690.93,781000
28,10034,10,D4,2,1,1,1935,0,14,0.302040728,0.169830999,,465000
29,10034,10,D4,2,1,2,1937,6,6,0.268846862,0.204977645,653416.67,544000
30,10034,10,D4,2,1,0,1966,4,8,0.171687163,0.235523063,526425,265000
31,10034,10,D4,2,1,1,1926,5,6,0.223956322,0.240025181,495062.5,330000
32,10034,10,D4,2,1,2,1966,4,11,0.171687163,0.235523063,3182125.7,605000
33,10018,2,S2,1,2,4,1910,0,9,0.639212006,0.231343904,,6100000
34,10001,10,D4,2,1,0,1963,3,5,0.543792162,0.238357145,2076897.92,425000
35,10001,10,D4,2,1,0,1963,0,7,0.543792162,0.238357145,,465000
36,10001,10,D4,2,1,1,1963,0,10,0.543792162,0.238357145,,639000
37,10001,10,D4,2,1,1,1960,0,4,0.546757314,0.206910268,,760000
38,10001,10,D4,2,1,2,1960,0,2,0.546757314,0.206910268,2114961.21,950000
39,10001,10,D4,2,1,0,1930,0,3,0.565310154,0.242443156,,345000
40,10001,10,D4,2,1,0,1930,0,4,0.565310154,0.242443156,,360000
41,10001,10,D4,2,1,1,1930,0,8,0.565310154,0.242443156,,640000
42,10001,10,D4,2,1,1,1930,1,8,0.565310154,0.242443156,2373687.9,645000
43,10001,10,D4,2,1,1,1930,0,7,0.565310154,0.242443156,,710000
44,10003,10,D4,2,1,0,1965,0,12,0.152194654,0.104994848,,595000
45,10003,10,D4,2,1,0,1965,3,18,0.152194654,0.104994848,1989192.09,626000
46,10003,10,D4,2,1,1,1965,0,11,0.152194654,0.104994848,,707500
47,10003,10,D4,2,1,1,1965,0,15,0.152194654,0.104994848,,890000
48,10012,9,C6,2,1,0,1880,31,26,0.470424289,0.073819672,2932144.9,826475
49,10012,10,D0,2,3,3,1900,17,27,0.453310686,0.068105689,2689553.29,5300000
50,10002,9,C6,2,1,1,1920,0,12,0.44656565,0.219569895,,499000
51,10002,9,C6,2,1,1,1920,0,11,0.44656565,0.219569895,,555000
52,10002,9,C6,2,1,1,1920,10,24,0.293183327,0.074446941,1322155.82,438000
53,10002,9,C6,2,1,1,1920,0,26,0.35508466,0.145078486,,459000
54,10002,9,C6,2,1,2,1920,1,10,0.378614371,0.282677031,,700000
55,10002,9,C6,2,1,1,1900,0,17,0.489758082,0.058303144,,450000
56,10002,9,C6,2,1,1,1900,0,13,0.489758082,0.058303144,,581000
57,10002,9,C6,2,1,1,1900,75,34,0.489758082,0.058303144,2056204.61,670000
58,10002,9,C6,2,1,3,1900,2,15,0.217336898,0.062191457,4299469.34,2150000
59,10002,10,D4,2,1,1,1955,0,5,0.524296927,0.537661056,,660000
60,10002,10,D4,2,1,2,1955,0,4,0.524296927,0.537661056,,799000
61,10002,10,D4,2,1,2,1955,0,5,0.534603946,0.545291849,,917000
62,10002,10,D4,2,1,2,1955,0,7,0.524296927,0.537661056,856687.5,950000
63,10002,10,D4,2,1,2,1955,3,9,0.524296927,0.537661056,797817.14,957000
64,10002,10,D4,2,1,2,1955,0,3,0.535493138,0.546483029,,957500
65,10002,10,D4,2,1,2,1955,0,5,0.534603946,0.545291849,,975000
66,10002,10,D4,2,2,3,1955,0,3,0.534603946,0.545291849,,1325000
