Inc_ID,Year,Neighborhood,BuildingCategoryNum,BuildingCategoryDes,TaxClassAtPresent,Block,Lot,BuildingClassAtPresent,StreetNum,StreetName,AptNum,ZipCode,ResidentialUnits,CommercialUnits,TotalUnits,LandSquareFeet,GrossSquareFeet,YearBuilt,TaxClassAtTimeOfSale,BuildingClassAtTimeOfSale,SalePrice,SaleDate,Beds,Baths,StreetAddress,GeoCode,LEASED
146,2015,CLINTON                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,1051,1152,RR,460,WEST 42ND STREET,House,10036,88,0,88,0,83988,2008,2,R4,260800000,12/21/2015,1,1,460 WEST 42ND STREET,"(-73.9950519, 40.759308600000004)",0
105,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,767,1555,R4,212,WEST 18TH STREET,House,10011,1,0,1,0,0,1929,2,R4,45000000,6/10/2016,4,4,212 WEST 18TH STREET,"(-73.99877409999999, 40.741226700000006)",0
4844,2018,GREENWICH VILLAGE-WEST,13,CONDOS - ELEVATOR APARTMENTS,2,601,1355,R4,160,LEROY STREET,House,10014,1,0,1,0,8075,2016,2,R4,43503250,7/23/2018,3,3,160 LEROY STREET,"(-74.0100209, 40.730189200000005)",0
5612,2018,UPPER EAST SIDE (59-79),1,ONE FAMILY DWELLINGS,1,1410,68,A7,110,EAST 76TH STREET,House,10021,1,0,1,3678,11991,2012,1,A7,40250000,8/16/2018,8,1,110 EAST 76TH STREET,"(-73.961522, 40.773251)",0
1511,2015,UPPER WEST SIDE (79-96)  ,8,RENTALS - ELEVATOR APARTMENTS      ,2,1227,27,D6,207,WEST 79TH STREET,House,10024,24,1,25,10437,71578,2015,2,D9,39000000,4/9/2015,4,4,207 WEST 79TH STREET,"(-73.9788272, 40.783522)",0
111,2018,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS,2,767,1554,R4,212,WEST 18TH STREET,House,10011,1,0,1,0,7058,1929,2,R4,31000000,6/18/2018,4,4,212 WEST 18TH STREET,"(-73.99877409999999, 40.741226700000006)",0
8504,2019,MIDTOWN CBD,13,CONDOS - ELEVATOR APARTMENTS,2,1292,1456,R4,432,PARK AVENUE,95,10022,0,0,0,0,"3,952",2012,2,R4,30691657,01/29/2019,6,8,432 PARK AVENUE,"(-73.9717602, 40.761648)",0
9370,2019,UPPER EAST SIDE (79-96),1,ONE FAMILY DWELLINGS,1,1494,11,A4,11,EAST 82ND STREET,House,10028,1,0,1,"2,554","7,340",1899,1,A4,30139360,03/04/2019,9,9,11 EAST 82ND STREET,"(-73.96117, 40.7786768)",0
4955,2018,LITTLE ITALY,15,CONDOS - 2-10 UNIT RESIDENTIAL,2C,478,1208,R1,152,ELIZABETH STREET,House,10012,1,0,1,4462,5603,1918,2,R1,29950000,7/12/2018,4,5,152 ELIZABETH STREET,"(-73.99478140000001, 40.7202881)",0
5608,2018,UPPER EAST SIDE (59-79),1,ONE FAMILY DWELLINGS,1,1382,8,A4,7,EAST 67TH STREET,House,10065,1,0,1,2510,7786,1910,1,A4,28500000,4/4/2018,7,7,7 EAST 67TH STREET,"(-73.9684677, 40.769153499999994)",0
4843,2018,GREENWICH VILLAGE-WEST,13,CONDOS - ELEVATOR APARTMENTS,2,601,1356,R4,160,LEROY STREET,House,10014,1,0,1,0,5114,2016,2,R4,28000000,8/24/2018,3,3,160 LEROY STREET,"(-74.0100209, 40.730189200000005)",0
2204,2018,UPPER EAST SIDE (79-96),13,CONDOS - ELEVATOR APARTMENTS,2,1577,1442,R4,20,EAST END AVENUE,House,10028,1,0,1,15121,6292,2014,2,R4,26300000,4/17/2018,5,6,20 EAST END AVENUE,"(-73.9477655, 40.7714157)",0
1833,2016,GREENWICH VILLAGE-CENTRAL,15,CONDOS - 2-10 UNIT RESIDENTIAL     ,2C,562,1207,R1,66,EAST 11TH STREET,House,10003,1,0,1,0,0,1929,2,R1,26122156,3/24/2016,4,7,66 EAST 11TH STREET,"(-73.9923283, 40.7326867)",0
4633,2018,GREENWICH VILLAGE-WEST,1,ONE FAMILY DWELLINGS,1,585,23,A5,18,GROVE STREET,House,10014,1,0,1,1368,3840,1910,1,A5,24500000,7/17/2018,3,5,18 GROVE STREET,"(-74.0054761, 40.7322866)",0
104,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,767,1545,R4,212,WEST 18TH STREET,House,10011,1,0,1,0,0,1929,2,R4,24000000,8/5/2016,4,4,212 WEST 18TH STREET,"(-73.99877409999999, 40.741226700000006)",0
6743,2018,UPPER WEST SIDE (59-79),10,COOPS - ELEVATOR APARTMENTS,2,1127,29,D4,145,CENTRAL PARK WEST,5C,10023,0,0,0,0,0,1930,2,D4,24000000,6/5/2018,5,7,145 CENTRAL PARK WEST,"(-73.9750554, 40.7779719)",0
501,2017,GREENWICH VILLAGE-WEST,13,CONDOS - ELEVATOR APARTMENTS      ,2,637,1495,R4,165,CHARLES STREET,House,10014,1,0,1,0,0,2004,2,R4,23700000,12/12/2017,2,2,165 CHARLES STREET,"(-74.0096815, 40.7341445)",0
9374,2019,UPPER EAST SIDE (79-96),2,TWO FAMILY DWELLINGS,1,1492,64,B1,12,EAST 81ST STREET,House,10028,2,0,2,"2,086","6,840",1901,1,B1,23000000,06/25/2019,6,7,12 EAST 81ST STREET,"(-73.96204240000002, 40.7778364)",0
463,2015,GREENWICH VILLAGE-WEST   ,1,ONE FAMILY DWELLINGS          ,1,608,68,A4,157,WEST 12TH STREET,House,10011,1,0,1,2151,3200,1899,1,A4,22300000,7/17/2015,4,7,157 WEST 12TH STREET,"(-73.99955390000001, 40.736891)",0
8660,2019,MIDTOWN WEST,13,CONDOS - ELEVATOR APARTMENTS,2,1010,1671,R4,157,WEST 57TH STREET,60B,10019,0,0,0,0,"4,193",2009,2,R4,22158995,01/29/2019,3,3,157 WEST 57TH STREET,"(-73.9791558, 40.7654184)",0
9368,2019,UPPER EAST SIDE (79-96),1,ONE FAMILY DWELLINGS,1,1492,125,A4,51,EAST 80TH STREET,House,10075,1,0,1,"2,350","8,876",1899,1,A4,21500000,04/15/2019,6,8,51 EAST 80TH STREET,"(-73.960945, 40.776963)",0
4946,2018,LITTLE ITALY,1,ONE FAMILY DWELLINGS,1,494,22,A7,38,PRINCE STREET,House,10012,1,0,1,3309,8069,1900,1,A7,21000000,8/30/2018,7,8,38 PRINCE STREET,"(-73.99525899999999, 40.722876)",0
