,Unnamed: 0,Unnamed: 0.1,Year,Neighborhood,BuildingCategoryNum,BuildingCategoryDes,TaxClassAtPresent,Block,Lot,BuildingClassAtPresent,StreetNum,StreetName,AptNum,ZipCode,ResidentialUnits,CommercialUnits,TotalUnits,LandSquareFeet,GrossSquareFeet,YearBuilt,TaxClassAtTimeOfSale,BuildingClassAtTimeOfSale,SalePrice,SaleDate,Beds,Baths,StreetAddress,GeoCode,Values
0,0,0,2015,ALPHABET CITY            ,1,ONE FAMILY DWELLINGS          ,1,400,19,A4,526,EAST 5TH STREET,House,10009,1,0,1,1883,5200,1900,1,A4,6500000,2015-03-18,7,5,526 EAST 5TH STREET,"(-73.983263, 40.724205700000006)",
1,1,1,2018,ALPHABET CITY,1,ONE FAMILY DWELLINGS,1,400,19,A4,526,EAST 5TH STREET,House,10009,1,0,1,1883,5200,1900,1,A4,6100000,2018-12-03,7,5,526 EAST 5TH STREET,"(-73.983263, 40.724205700000006)",1455732.9690265488
2,2,2,2019,ALPHABET CITY,1,ONE FAMILY DWELLINGS,1,400,19,A4,526,EAST 5TH STREET,House,10009,1,0,1,"1,883","5,200",1900,1,A4,6100000,2018-12-03,7,5,526 EAST 5TH STREET,"(-73.983263, 40.724205700000006)",1455732.9690265488
3,3,3,2015,ALPHABET CITY            ,3,THREE FAMILY DWELLINGS         ,1,376,24,C0,264,EAST 7TH STREET,House,10009,3,0,3,2059,3696,1900,1,C0,3775000,2015-10-22,8,5,264 EAST 7TH STREET,"(-73.9775683, 40.72327979999999)",940172.989010989
4,4,4,2016,ALPHABET CITY            ,3,THREE FAMILY DWELLINGS         ,1,376,24,C0,264,EAST 7TH STREET,House,10009,3,0,3,2059,3696,1900,1,C0,7738700,2016-12-22,8,5,264 EAST 7TH STREET,"(-73.9775683, 40.72327979999999)",2189189.9638554216
5,5,5,2015,ALPHABET CITY            ,9,COOPS - WALKUP APARTMENTS        ,2,376,19,C6,254,EAST 7TH STREET,18,10009,0,0,0,0,0,1910,2,C6,600000,2015-08-20,0,1,254 EAST 7TH STREET,"(-73.9778733, 40.7234098)",1047271.08
6,6,6,2015,ALPHABET CITY            ,9,COOPS - WALKUP APARTMENTS        ,2,389,30,C6,224,EAST 7TH STREET,1,10009,0,0,0,0,0,1950,2,C6,355000,2015-05-21,0,1,224 EAST 7TH STREET,"(-73.979415, 40.724073)",
7,7,7,2018,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,389,30,C6,224,EAST 7TH STREET,1,10009,0,0,0,0,0,1950,2,C6,409000,2018-10-09,0,1,224 EAST 7TH STREET,"(-73.979415, 40.724073)",1529631.4086021506
8,8,8,2019,ALPHABET CITY,9,COOPS - WALKUP APARTMENTS,2,389,30,C6,224,EAST 7TH STREET,1,10009,0,0,0,0,0,1950,2,C6,409000,2018-10-09,0,1,224 EAST 7TH STREET,"(-73.979415, 40.724073)",1529631.4086021506
9,9,9,2015,ALPHABET CITY            ,9,COOPS - WALKUP APARTMENTS        ,2,394,52,C6,633,EAST 11TH STREET,17,10009,0,0,0,0,0,1937,2,C6,482500,2015-09-09,1,1,633 EAST 11TH STREET,"(-73.97779399999999, 40.727011)",1235736.3333333333
10,10,10,2015,ALPHABET CITY            ,9,COOPS - WALKUP APARTMENTS        ,2,394,52,C6,633,EAST 11TH STREET,22,10009,0,0,0,0,0,1937,2,C6,495000,2015-11-12,1,1,633 EAST 11TH STREET,"(-73.97779399999999, 40.727011)",1137561.2828947369
11,11,11,2015,ALPHABET CITY            ,10,COOPS - ELEVATOR APARTMENTS       ,2,398,8,D4,160,EAST 3RD STREET,3D,10009,0,0,0,0,0,1940,2,D4,750430,2015-06-15,2,1,160 EAST 3RD STREET,"(-73.9847603, 40.723336100000004)",
12,12,12,2019,ALPHABET CITY,10,COOPS - ELEVATOR APARTMENTS,2,398,8,D4,160,EAST 3RD STREET,3D,10009,0,0,0,0,0,1940,2,D4,1050000,2019-09-20,2,1,160 EAST 3RD STREET,"(-73.9847603, 40.723336100000004)",1837901.3146067415
13,13,13,2015,CHELSEA                  ,1,ONE FAMILY DWELLINGS          ,1,771,52,A9,224,WEST 22ND STREET,House,10011,1,0,1,1975,3855,1901,1,A9,8800000,2015-12-11,6,6,224 WEST 22ND STREET,"(-73.997166, 40.743608)",2141144.000998004
14,14,14,2016,CHELSEA                  ,1,ONE FAMILY DWELLINGS          ,1,771,52,A9,224,WEST 22ND STREET,House,10011,1,0,1,1975,3540,1901,1,A9,7425000,2016-12-30,6,6,224 WEST 22ND STREET,"(-73.997166, 40.743608)",2694265.1501976284
15,15,15,2015,CHELSEA                  ,9,COOPS - WALKUP APARTMENTS        ,2,742,60,C6,340,WEST 19TH STREET,11,10011,0,0,0,0,0,1920,2,C6,795000,2015-04-13,2,1,340 WEST 19TH STREET,"(-74.0020817, 40.743468799999995)",
16,16,16,2018,CHELSEA,9,COOPS - WALKUP APARTMENTS,2,742,60,C6,340,WEST 19TH STREET,11,10011,0,0,0,0,0,1920,2,C6,999000,2018-06-14,2,1,340 WEST 19TH STREET,"(-74.0020817, 40.743468799999995)",
17,17,17,2015,CHELSEA                  ,9,COOPS - WALKUP APARTMENTS        ,2,742,60,C6,340,WEST 19TH STREET,22,10011,0,0,0,0,0,1920,2,C6,949000,2015-05-27,2,1,340 WEST 19TH STREET,"(-74.0020817, 40.743468799999995)",
18,18,18,2019,CHELSEA,9,COOPS - WALKUP APARTMENTS,2,742,60,C6,340,WEST 19TH STREET,22,10011,0,0,0,0,0,1920,2,C6,930000,2019-07-24,2,1,340 WEST 19TH STREET,"(-74.0020817, 40.743468799999995)",2295543.956043956
19,19,19,2015,CHELSEA                  ,9,COOPS - WALKUP APARTMENTS        ,2,744,32,C6,309,WEST 20TH STREET,5F,10011,0,0,0,0,0,1850,2,C6,570000,2015-06-25,1,1,309 WEST 20TH STREET,"(-74.0004722, 40.7438228)",
20,20,20,2019,CHELSEA,9,COOPS - WALKUP APARTMENTS,2,744,32,C6,309,WEST 20TH STREET,5F,10011,0,0,0,0,0,1850,2,C6,585000,2019-05-02,1,1,309 WEST 20TH STREET,"(-74.0004722, 40.7438228)",
21,21,21,2015,CHELSEA                  ,9,COOPS - WALKUP APARTMENTS        ,2,746,72,C6,356,WEST 23RD STREET,3A,10011,0,0,0,0,0,1910,2,C6,750000,2015-10-22,1,1,356 WEST 23RD STREET,"(-74.0007964, 40.7460292)",1712838.519011407
22,22,22,2018,CHELSEA,9,COOPS - WALKUP APARTMENTS,2,746,72,C6,356,WEST 23RD STREET,3A,10011,0,0,0,0,0,1910,2,C6,855000,2018-06-15,1,1,356 WEST 23RD STREET,"(-74.0007964, 40.7460292)",
23,23,23,2015,CHELSEA                  ,9,COOPS - WALKUP APARTMENTS        ,2,765,59,C6,228,WEST 16TH STREET,3B,10011,0,0,0,0,0,1901,2,C6,459000,2015-10-19,1,1,228 WEST 16TH STREET,"(-74.00029570000001, 40.7402827)",1969036.5694267517
24,24,24,2018,CHELSEA,9,COOPS - WALKUP APARTMENTS,2,765,59,C6,228,WEST 16TH STREET,3B,10011,0,0,0,0,0,1901,2,C6,550000,2018-07-16,1,1,228 WEST 16TH STREET,"(-74.00029570000001, 40.7402827)",2465382.9668874172
25,25,25,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,694,42,D4,520,WEST 23RD STREET,11A,10011,0,0,0,0,0,2003,2,D4,660000,2015-06-08,0,1,520 WEST 23RD STREET,"(-74.00503940000002, 40.7478445)",
26,26,26,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,694,42,D4,520,WEST 23RD STREET,6G,10011,0,0,0,0,0,2003,2,D4,835000,2015-10-05,1,1,520 WEST 23RD STREET,"(-74.00503940000002, 40.7478445)",1829871.5938697318
27,27,27,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,694,42,D4,520,WEST 23RD STREET,6H,10011,0,0,0,0,0,2003,2,D4,850000,2015-01-13,1,1,520 WEST 23RD STREET,"(-74.00503940000002, 40.7478445)",
28,28,28,2017,CHELSEA,10,COOPS - ELEVATOR APARTMENTS       ,2,694,42,D4,520,WEST 23RD STREET,6H,10011,0,0,0,0,0,2003,2,D4,850000,2017-06-22,1,1,520 WEST 23RD STREET,"(-74.00503940000002, 40.7478445)",
29,29,29,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,744,1,D4,365,WEST 20TH STREET,5C,10011,0,0,0,0,0,1928,2,D4,855000,2015-09-18,2,1,365 WEST 20TH STREET,"(-74.0023215, 40.744583899999995)",1586492.3362637362
30,30,30,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,746,18,D4,333,WEST 22ND STREET,5D,10011,0,0,0,0,0,1910,2,D4,1415000,2015-12-14,1,2,333 WEST 22ND STREET,"(-74.00032579999998, 40.7454896)",1724778.071339174
31,31,31,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,747,28,D4,315,WEST 23RD STREET,12A,10011,0,0,0,0,0,1926,2,D4,1550000,2015-07-21,2,1,315 WEST 23RD STREET,"(-73.99914179999999, 40.745830299999994)",1473727.4311377245
32,32,32,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,764,62,D4,250,WEST 15TH STREET,6F,10011,0,0,0,0,0,1930,2,D4,810000,2015-01-13,1,1,250 WEST 15TH STREET,"(-74.0013004, 40.7399396)",
33,33,33,2019,CHELSEA,10,COOPS - ELEVATOR APARTMENTS,2,764,62,D4,250,WEST 15TH STREET,6F,10011,0,0,0,0,0,1930,2,D4,1025000,2019-09-18,1,1,250 WEST 15TH STREET,"(-74.0013004, 40.7399396)",1895041.4282238444
34,34,34,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,766,39,D4,201,WEST 16TH STREET,8E,10011,0,0,0,0,0,1930,2,D4,475000,2015-04-23,0,1,201 WEST 16TH STREET,"(-73.9988739, 40.7401582)",
35,35,35,2018,CHELSEA,10,COOPS - ELEVATOR APARTMENTS,2,766,39,D4,201,WEST 16TH STREET,8E,10011,0,0,0,0,0,1930,2,D4,480000,2018-05-31,0,1,201 WEST 16TH STREET,"(-73.9988739, 40.7401582)",
36,36,36,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,766,39,D4,201,WEST 16TH STREET,4B,10011,0,0,0,0,0,1930,2,D4,1170000,2015-12-11,1,1,201 WEST 16TH STREET,"(-73.9988739, 40.7401582)",2224911.052195526
37,37,37,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,766,39,D4,201,WEST 16TH STREET,16B,10011,0,0,0,0,0,1930,2,D4,1250000,2015-11-30,1,1,201 WEST 16TH STREET,"(-73.9988739, 40.7401582)",2197085.7145855194
38,38,38,2018,CHELSEA,10,COOPS - ELEVATOR APARTMENTS,2,766,39,D4,201,WEST 16TH STREET,16B,10011,0,0,0,0,0,1930,2,D4,1330000,2018-03-01,1,1,201 WEST 16TH STREET,"(-73.9988739, 40.7401582)",
39,39,39,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,773,12,D4,250,WEST 24TH STREET,2CE,10011,0,0,0,0,0,1940,2,D4,1350000,2015-08-12,1,1,250 WEST 24TH STREET,"(-73.9971015, 40.7454083)",1578553.3639575972
40,40,40,2019,CHELSEA,10,COOPS - ELEVATOR APARTMENTS,2,773,12,D4,250,WEST 24TH STREET,2CE,10011,0,0,0,0,0,1940,2,D4,1265000,2019-02-28,1,1,250 WEST 24TH STREET,"(-73.9971015, 40.7454083)",
41,41,41,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,790,40,D0,100,WEST 15TH STREET,3B,10011,0,0,0,0,0,1920,2,D0,517500,2015-07-22,1,2,100 WEST 15TH STREET,"(-73.9969064, 40.7381186)",1796516.2723735408
42,42,42,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,791,1,D0,161,WEST 15TH STREET,4I,10011,0,0,0,0,0,1938,2,D0,1600000,2015-04-30,1,1,161 WEST 15TH STREET,"(-73.9987046, 40.739337899999995)",
43,43,43,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,791,1,D0,161,WEST 15TH STREET,6C,10011,0,0,0,0,0,1938,2,D0,2000000,2015-11-16,2,2,161 WEST 15TH STREET,"(-73.9987046, 40.739337899999995)",2084994.2082514735
44,44,44,2019,CHELSEA,10,COOPS - ELEVATOR APARTMENTS,2,791,1,D0,161,WEST 15TH STREET,6C,10011,0,0,0,0,0,1938,2,D0,2165000,2019-09-09,2,2,161 WEST 15TH STREET,"(-73.9987046, 40.739337899999995)",2058345.3970315398
45,45,45,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,796,1,D4,165,WEST 20TH STREET,3K,10011,0,0,0,0,0,1938,2,D4,562500,2015-07-08,0,1,165 WEST 20TH STREET,"(-73.99645550000001, 40.742221799999996)",1574916.5726495727
46,46,46,2019,CHELSEA,10,COOPS - ELEVATOR APARTMENTS,2,796,1,D4,165,WEST 20TH STREET,3K,10011,0,0,0,0,0,1938,2,D4,625000,2019-06-17,0,1,165 WEST 20TH STREET,"(-73.99645550000001, 40.742221799999996)",
47,47,47,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,801,30,D0,107,WEST 25TH STREET,3E,10001,0,0,0,0,0,1905,2,D0,1375000,2015-12-16,2,1,107 WEST 25TH STREET,"(-73.9922768, 40.7445359)",2099064.52
48,48,48,2015,CHELSEA                  ,10,COOPS - ELEVATOR APARTMENTS       ,2,803,14,D0,143,WEST 27TH STREET,3F,10001,0,0,0,0,0,1910,2,D0,2100000,2015-01-06,3,2,143 WEST 27TH STREET,"(-73.9926272, 40.7463751)",
49,49,49,2018,CHELSEA,10,COOPS - ELEVATOR APARTMENTS,2,803,14,D0,143,WEST 27TH STREET,3F,10001,0,0,0,0,0,1910,2,D0,2750000,2018-12-21,3,2,143 WEST 27TH STREET,"(-73.9926272, 40.7463751)",2247513.216931217
50,50,50,2019,CHELSEA,10,COOPS - ELEVATOR APARTMENTS,2,803,14,D0,143,WEST 27TH STREET,3F,10001,0,0,0,0,0,1910,2,D0,2750000,2018-12-21,3,2,143 WEST 27TH STREET,"(-73.9926272, 40.7463751)",2247513.216931217
51,51,51,2015,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1037,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,955000,2015-04-28,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
52,52,52,2015,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1095,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1150000,2015-11-24,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",1677656.2388059702
53,53,53,2015,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1120,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1317500,2015-08-13,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",1602365.9493670885
54,54,54,2015,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1058,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1350000,2015-09-17,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",1634148.4317460319
55,55,55,2015,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1113,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1900000,2015-06-22,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
56,56,56,2015,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1152,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1900000,2015-07-13,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",1326263.3448275863
57,57,57,2015,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1039,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,2100000,2015-07-30,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",1752379.7663551401
58,58,58,2015,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1139,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,2254000,2015-09-18,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",1633060.3302180686
59,59,59,2015,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1064,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,3350000,2015-05-08,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
60,60,60,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1023,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1125000,2016-01-13,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
61,61,61,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1015,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1195000,2016-12-06,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",3248160.218818381
62,62,62,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1105,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1215000,2016-03-31,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
63,63,63,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1130,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1335000,2016-04-11,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
64,64,64,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1044,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1355000,2016-04-25,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
65,65,65,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1043,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1600000,2016-01-05,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
66,66,66,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1135,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1865000,2016-04-29,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
67,67,67,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1151,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1875000,2016-03-15,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
68,68,68,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1129,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,2175000,2016-09-06,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",2634888.6829268294
69,69,69,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1025,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,2265000,2016-01-28,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
70,70,70,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1156,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,2935000,2016-05-13,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
71,71,71,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1146,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,2950000,2016-05-16,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
72,72,72,2016,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1122,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,4000000,2016-09-01,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",2608895.301587302
73,73,73,2017,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1040,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1500000,2017-06-15,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
74,74,74,2017,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1021,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1750000,2017-11-30,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",1948582.8023952097
75,75,75,2017,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1159,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,1850000,2017-08-10,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",1676068.5268817204
76,76,76,2017,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1077,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,2450000,2017-01-17,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
77,77,77,2017,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1164,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,2650000,2017-09-11,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",1649286.743697479
78,78,78,2017,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS      ,2,714,1082,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,0,2006,2,R4,4700000,2017-08-22,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",1506528.487012987
79,79,79,2018,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS,2,714,1114,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,635,2006,2,R4,1580000,2018-01-18,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
80,80,80,2018,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS,2,714,1123,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,689,2006,2,R4,1695000,2018-01-22,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
81,81,81,2018,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS,2,714,1155,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,828,2006,2,R4,1900000,2018-07-31,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",1349134.8305084745
82,82,82,2018,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS,2,714,1003,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,948,2006,2,R4,2290000,2018-07-17,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",2060672.4210526317
83,83,83,2018,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS,2,714,1107,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,1038,2006,2,R4,2380000,2018-01-03,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
84,84,84,2018,CHELSEA,13,CONDOS - ELEVATOR APARTMENTS,2,714,1145,R4,450,WEST 17TH STREET,House,10011,1,0,1,0,1038,2006,2,R4,2550000,2018-01-12,1,1,450 WEST 17TH STREET,"(-74.00674599999999, 40.743531)",
85,85,85,2015,CHELSEA                  ,13,CONDOS - ELEVATOR APARTMENTS      ,2,716,1210,R4,447,WEST 18TH STREET,House,10011,1,0,1,0,0,2007,2,R4,2500000,2015-03-25,4,2,447 WEST 18TH STREET,"(-74.0056368, 40.7445286)",
