,index,Unnamed: 0,Unnamed: 0.1,Year,Neighborhood,BuildingCategoryNum,BuildingCategoryDes,TaxClassAtPresent,Block,Lot,BuildingClassAtPresent,StreetNum,StreetName,AptNum,ZipCode,ResidentialUnits,CommercialUnits,TotalUnits,LandSquareFeet,GrossSquareFeet,YearBuilt,TaxClassAtTimeOfSale,BuildingClassAtTimeOfSale,SalePrice,SaleDate,Beds,Baths,StreetAddress,GeoCode,Values
0,7801,7842,7842,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,25,1547,R4,15,WILLIAM STREET,24H,10005,0,0,0,0,"1,373",2005,2,R4,1595000,2019-08-27,2,2,15 WILLIAM STREET,"(-74.0103402, 40.705253799999994)",1019917.1764705882
1,7802,7843,7843,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,25,1544,R4,15,WILLIAM STREET,24E,10005,0,0,0,0,"1,300",2005,2,R4,1675000,2019-05-10,2,2,15 WILLIAM STREET,"(-74.0103402, 40.705253799999994)",
2,7803,7844,7844,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,25,1624,R4,15,WILLIAM STREET,34E,10005,0,0,0,0,"1,300",2005,2,R4,1715000,2019-09-17,2,2,15 WILLIAM STREET,"(-74.0103402, 40.705253799999994)",1066604.4957983193
3,7804,7845,7845,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,25,1686,R4,15,WILLIAM STREET,42I,10005,0,0,0,0,"1,273",2005,2,R4,1715000,2019-05-06,2,2,15 WILLIAM STREET,"(-74.0103402, 40.705253799999994)",
4,7805,7846,7846,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,25,1700,R4,15,WILLIAM STREET,44I,10005,0,0,0,0,"1,273",2005,2,R4,1720000,2019-09-20,2,2,15 WILLIAM STREET,"(-74.0103402, 40.705253799999994)",1065015.9917355373
5,7806,7847,7847,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,25,1682,R4,15,WILLIAM STREET,41L,10005,0,0,0,0,"1,592",2005,2,R4,2275000,2019-06-20,3,3,15 WILLIAM STREET,"(-74.0103402, 40.705253799999994)",
6,7807,7848,7848,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,25,1717,R4,15,WILLIAM STREET,46L,10005,0,0,0,0,"1,592",2005,2,R4,2385000,2019-06-25,3,3,15 WILLIAM STREET,"(-74.0103402, 40.705253799999994)",
7,7808,7849,7849,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,26,1174,R4,15,BROAD STREET,2128,10005,0,0,0,0,916,1914,2,R4,905000,2019-05-23,0,1,15 BROAD STREET,"(-74.01045699999999, 40.7067114)",
8,7809,7850,7850,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,26,1216,R4,15,BROAD STREET,2422,10005,0,0,0,0,685,1914,2,R4,935000,2019-09-16,0,1,15 BROAD STREET,"(-74.01045699999999, 40.7067114)",1447132.7021276595
9,7810,7851,7851,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,26,1322,R4,15,BROAD STREET,3424,10005,0,0,0,0,"1,397",1914,2,R4,1565000,2019-07-29,1,2,15 BROAD STREET,"(-74.01045699999999, 40.7067114)",873221.3333333334
10,7811,7852,7852,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,26,1093,R4,15,BROAD STREET,1620,10005,0,0,0,0,"2,300",1914,2,R4,2670000,2019-04-16,3,3,15 BROAD STREET,"(-74.01045699999999, 40.7067114)",
11,7812,7853,7853,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,26,1341,R4,15,BROAD STREET,3900,10005,0,0,0,0,"2,523",1914,2,R4,4250000,2019-06-14,3,3,15 BROAD STREET,"(-74.01045699999999, 40.7067114)",
12,7813,7854,7854,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,27,1080,R4,55,WALL STREET,815,10005,0,0,0,0,645,0,2,R4,618000,2019-07-19,0,1,55 WALL STREET,"(-74.0093235, 40.7060805)",1799135.875
13,7814,7855,7855,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,27,1020,R4,55,WALL STREET,602,10005,0,0,0,0,"1,177",0,2,R4,1758170,2019-05-30,1,0,55 WALL STREET,"(-74.0093235, 40.7060805)",
14,7815,7856,7856,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,31,1219,R4,75,WALL STREET,30Q,10005,0,0,0,0,582,1987,2,R4,815000,2019-05-16,0,1,75 WALL STREET,"(-74.008024, 40.7051691)",
15,7816,7857,7857,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,31,1123,R4,75,WALL STREET,25K,10005,0,0,0,0,826,1987,2,R4,1175000,2019-05-22,1,1,75 WALL STREET,"(-74.008024, 40.7051691)",
16,7817,7858,7858,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,31,1306,R4,75,WALL STREET,36G,10005,0,0,0,0,913,1987,2,R4,1250000,2019-08-13,1,1,75 WALL STREET,"(-74.008024, 40.7051691)",1124969.780487805
17,7818,7859,7859,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,31,1272,R4,75,WALL STREET,33P,10005,0,0,0,0,"1,133",1987,2,R4,1350000,2019-06-06,1,2,75 WALL STREET,"(-74.008024, 40.7051691)",
18,7819,7860,7860,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,31,1197,R4,75,WALL STREET,29M,10005,0,0,0,0,"1,244",1987,2,R4,1635000,2019-04-12,2,2,75 WALL STREET,"(-74.008024, 40.7051691)",
19,7820,7861,7861,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,33,1028,R4,101,WALL STREET,11A,10005,0,0,0,0,703,1931,2,R4,973806,2019-05-24,1,1,101 WALL STREET,"(-74.0072054, 40.70478789999999)",
20,7821,7862,7862,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,33,1031,R4,101,WALL STREET,12A,10005,0,0,0,0,703,1931,2,R4,975000,2019-07-26,1,1,101 WALL STREET,"(-74.0072054, 40.70478789999999)",883587.4193548387
21,7822,7863,7863,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,33,1022,R4,101,WALL STREET,9A,10005,0,0,0,0,706,1931,2,R4,977000,2019-08-12,1,1,101 WALL STREET,"(-74.0072054, 40.70478789999999)",1091848.9736842106
22,7823,7864,7864,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,33,1038,R4,101,WALL STREET,15B,10005,0,0,0,0,"1,417",1931,2,R4,1937520,2019-05-09,2,2,101 WALL STREET,"(-74.0072054, 40.70478789999999)",
23,7824,7865,7865,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,41,1232,R4,56,PINE STREET,7E,10005,0,0,0,0,430,0,2,R4,486901,2019-06-10,0,1,56 PINE STREET,"(-74.0083798, 40.706832299999995)",
24,7825,7866,7866,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,41,1238,R4,56,PINE STREET,8D,10005,0,0,0,0,662,0,2,R4,640000,2019-07-08,1,1,56 PINE STREET,"(-74.0083798, 40.706832299999995)",2598995.4146341463
25,7826,7867,7867,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,41,1224,R4,56,PINE STREET,6D,10005,0,0,0,0,662,0,2,R4,669000,2019-07-31,1,1,56 PINE STREET,"(-74.0083798, 40.706832299999995)",849656.0465116279
26,7827,7868,7868,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,41,1020,R4,50,PINE STREET,11S,10005,0,0,0,0,"1,065",0,2,R4,1475000,2019-04-05,2,2,50 PINE STREET,"(-74.0085978, 40.706930799999995)",
27,7828,7869,7869,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,44,1098,R4,20,PINE STREET,909,10005,0,0,0,0,662,1928,2,R4,747000,2019-08-07,0,1,20 PINE STREET,"(-74.00967659999999, 40.7075665)",1804173.5
28,7829,7870,7870,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,44,1196,R4,20,PINE STREET,1512,10005,0,0,0,0,784,1928,2,R4,825000,2019-08-19,0,1,20 PINE STREET,"(-74.00967659999999, 40.7075665)",1645677.9759036144
29,7830,7871,7871,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,44,1007,R4,20,PINE STREET,407,10005,0,0,0,0,"1,063",1928,2,R4,940000,2019-07-12,0,1,20 PINE STREET,"(-74.00967659999999, 40.7075665)",2728714.926829268
30,7831,7872,7872,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,53,1420,R4,123,WASHINGTON STREET,30C,10006,0,0,0,0,394,2007,2,R4,615000,2019-04-12,0,1,123 WASHINGTON STREET,"(-74.01375340000001, 40.7092191)",
31,7832,7873,7873,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,53,1422,R4,123,WASHINGTON STREET,30E,10006,0,0,0,0,448,2007,2,R4,692410,2019-04-05,0,1,123 WASHINGTON STREET,"(-74.01375340000001, 40.7092191)",
32,7833,7874,7874,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,53,1067,R4,120,GREENWICH STREET,9A,10006,0,0,0,0,568,1903,2,R4,755000,2019-08-12,1,1,120 GREENWICH STREET,"(-74.01333620000001, 40.709183200000005)",2607505.87394958
33,7834,7875,7875,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,53,1006,R4,120,GREENWICH STREET,2C,10006,0,0,0,0,715,1903,2,R4,830000,2019-05-17,1,1,120 GREENWICH STREET,"(-74.01333620000001, 40.709183200000005)",
34,7835,7876,7876,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,53,1302,R4,123,WASHINGTON STREET,47A,10006,0,0,0,0,799,2007,2,R4,1300000,2019-08-26,1,1,123 WASHINGTON STREET,"(-74.01375340000001, 40.7092191)",2023440.94
35,7836,7877,7877,2019,FINANCIAL,13,CONDOS - ELEVATOR APARTMENTS,2,53,1296,R4,123,WASHINGTON STREET,46B,10006,0,0,0,0,"1,175",2007,2,R4,1500000,2019-07-15,2,2,123 WASHINGTON STREET,"(-74.01375340000001, 40.7092191)",3458178.4637681157
