BomDate,MedianSalesPrice
2015-01-01,990000
2015-02-01,896060
2015-03-01,890000
2015-04-01,916425
2015-05-01,908000
2015-06-01,997104.5
2015-07-01,960000
2015-08-01,890000
2015-09-01,981500
2015-10-01,1010000
2015-11-01,1150000
2015-12-01,1016693
2016-01-01,1140000
2016-02-01,1095000
2016-03-01,986333
2016-04-01,999000
2016-05-01,1152811
2016-06-01,998500
2016-07-01,1045000
2016-08-01,965000
2016-09-01,984000
2016-10-01,975000
2016-11-01,985000
2016-12-01,991500
2017-01-01,1100000
2017-02-01,999000
2017-03-01,1050162
2017-04-01,1150000
2017-05-01,1125000
2017-06-01,1200000
2017-07-01,1195000
2017-08-01,1100000
2017-09-01,1072500
2017-10-01,960000
2017-11-01,1100000
2017-12-01,1116000
2018-01-01,998500
2018-02-01,1100000
2018-03-01,1097500
2018-04-01,1057500
2018-05-01,1082095
2018-06-01,996200
2018-07-01,1094500
2018-08-01,1049500
2018-09-01,1006579
2018-10-01,985000
2018-11-01,1028432
2018-12-01,1050000
2019-01-01,997500
2019-02-01,1098750
2019-03-01,1137500
2019-04-01,1150000
2019-05-01,1200000
2019-06-01,1520000
2019-07-01,950000
2019-08-01,1017500
2019-09-01,990500
2019-10-01,955000
