Address,latitude,longitude
"526 EAST 5TH STREET, New York, NY",40.7242057,-73.983263
"264 EAST 7TH STREET, New York, NY",40.7232798,-73.9775683
"243 EAST 7TH STREET, New York, NY",40.7239392,-73.9782
"238 EAST 4TH STREET, New York, NY",40.7232718,-73.9830259
"311 EAST 3RD STREET, New York, NY",40.7212244,-73.9789396
"327 EAST 3RD STREET, New York, NY",40.7208731,-73.9783978
"742 EAST 6TH STREET, New York, NY",40.7226187,-73.9778157
"254 7TH STREET, New York, NY",40.7234098,-73.9778733
"254 EAST 7TH STREET, New York, NY",40.7234098,-73.9778733
"252 EAST 7TH STREET, New York, NY",40.7235325,-73.9779504
"249 EAST 7TH STREET, New York, NY",40.7239276,-73.977928
"241 EAST 7TH STREET, New York, NY",40.7240253,-73.9782234
"412-14 EAST 10TH STREET, New York, NY",40.7253554,-73.9768836
"733 EAST 9TH STREET, New York, NY",40.7248179,-73.9764656
"610 EAST 5TH STREET, New York, NY",40.7234494,-73.9815567
"55 AVENUE C, New York, NY",40.7225621,-73.9802754
"224 EAST 7TH STREET, New York, NY",40.724073,-73.979415
"184 EAST 7TH STREET, New York, NY",40.7248251,-73.9810491
"219 EAST 7TH STREET, New York, NY",40.7245336,-73.9793556
"323 EAST 8TH STREET, New York, NY",40.7253837,-73.979357
"307 EAST 8TH STREET, New York, NY",40.7256106,-73.9798624
"633 EAST 11TH STRET, New York, NY",40.727011,-73.977794
"633 EAST 11TH STREET, New York, NY",40.727011,-73.977794
"634 EAST 14TH STREET, New York, NY",40.7285626,-73.9766276
"626 EAST 14TH STREET, New York, NY",40.7287996,-73.9769061
"632 EAST 14TH STREET, New York, NY",40.7286844,-73.9766501
"162 EAST 2ND STREET, New York, NY",40.7228235,-73.98509
"225 EAST 4TH STREET, New York, NY",40.7237738,-73.9830259
"513 EAST 5TH STREET, New York, NY",40.7247015,-73.9835768
"529 EAST 12TH STREET, New York, NY",40.728607,-73.9799277
"527 EAST 12TH STREET, New York, NY",40.728723,-73.9798859
"507 EAST 12TH STREET, New York, NY",40.7290188,-73.9807509
"95 AVENUE B, New York, NY",40.7245835,-73.9813934
"149 AVENUE C, New York, NY",40.7255667,-73.9779754
"504 EAST 6TH STREET, New York, NY",40.7251359,-73.9835796
"311 EAST 10TH STREET, New York, NY",40.7276715,-73.9812342
"533 EAST 13TH STREET, New York, NY",40.7292397,-73.9792682
"735 EAST 9TH STREET, New York, NY",40.7247822,-73.9763508
"226 EAST 2ND STREET, New York, NY",40.7217583,-73.982429
"223-225 EAST 3RD STREET, New York, NY",40.7224699,-73.9819171
"283 EAST 4 STREET, New York, NY",40.7228301,-73.9807302
"160 EAST 3RD STREET, New York, NY",40.7233361,-73.9847603
"211 EAST 3RD STREET, New York, NY",40.7225501,-73.9824324
"613 EAST 11TH STREET, New York, NY",40.7272736,-73.9785305
"617 EAST 11TH STREET, New York, NY",40.7271959,-73.9784875
"182 EAST 2ND STREET, New York, NY",40.722735,-73.98435
"511 EAST 11TH STREET, New York, NY",40.7283335,-73.9810513
"509 EAST 13TH STREET, New York, NY",40.7296574,-73.9802126
"754 EAST 6TH STREET, New York, NY",40.7225117,-73.9772637
"310 EAST HOUSTON STREET, New York, NY",40.7213743,-73.9829466
"217 EAST 7TH STREET, New York, NY",40.7245146,-73.9794933
"143 AVENUE B, New York, NY",40.7263234,-73.9800415
"631 EAST 9TH STREET, New York, NY",40.7258771,-73.9788018
"215 AVENUE B, New York, NY",40.728771,-73.978201
"240 EAST HOUSTON ST, New York, NY",40.7223878,-73.9860281
"525 EAST 11TH STREET, New York, NY",40.7282193,-73.9804777
"296 EAST 2ND STREET, New York, NY",40.720588,-73.979395
