,Address,latitude,longitude,GeoCode
0,"526 EAST 5TH STREET, New York, NY",40.724205700000006,-73.983263,"(-73.983262999999994, 40.724205700000006)"
1,"264 EAST 7TH STREET, New York, NY",40.72327979999999,-73.9775683,"(-73.977568300000001, 40.723279799999993)"
2,"243 EAST 7TH STREET, New York, NY",40.723939200000004,-73.9782,"(-73.978200000000001, 40.723939200000004)"
3,"238 EAST 4TH STREET, New York, NY",40.7232718,-73.9830259,"(-73.983025900000001, 40.723271799999999)"
4,"311 EAST 3RD STREET, New York, NY",40.721224400000004,-73.97893959999999,"(-73.97893959999999, 40.721224400000004)"
5,"327 EAST 3RD STREET, New York, NY",40.720873100000006,-73.9783978,"(-73.978397799999996, 40.720873100000006)"
6,"742 EAST 6TH STREET, New York, NY",40.722618700000005,-73.9778157,"(-73.977815699999994, 40.722618700000005)"
7,"254 7TH STREET, New York, NY",40.7234098,-73.9778733,"(-73.977873299999999, 40.723409799999999)"
8,"254 EAST 7TH STREET, New York, NY",40.7234098,-73.9778733,"(-73.977873299999999, 40.723409799999999)"
9,"252 EAST 7TH STREET, New York, NY",40.723532500000005,-73.97795040000001,"(-73.977950400000012, 40.723532500000005)"
10,"249 EAST 7TH STREET, New York, NY",40.7239276,-73.977928,"(-73.977928000000006, 40.723927600000003)"
11,"241 EAST 7TH STREET, New York, NY",40.724025299999994,-73.9782234,"(-73.978223400000005, 40.724025299999994)"
12,"412-14 EAST 10TH STREET, New York, NY",40.7253554,-73.9768836,"(-73.976883599999994, 40.725355399999998)"
13,"733 EAST 9TH STREET, New York, NY",40.7248179,-73.9764656,"(-73.976465599999997, 40.724817899999998)"
14,"610 EAST 5TH STREET, New York, NY",40.7234494,-73.9815567,"(-73.981556699999999, 40.7234494)"
15,"55 AVENUE C, New York, NY",40.722562100000005,-73.98027540000001,"(-73.980275400000011, 40.722562100000005)"
16,"224 EAST 7TH STREET, New York, NY",40.724073,-73.979415,"(-73.979415000000003, 40.724072999999997)"
17,"184 EAST 7TH STREET, New York, NY",40.7248251,-73.98104909999999,"(-73.981049099999993, 40.724825099999997)"
18,"219 EAST 7TH STREET, New York, NY",40.7245336,-73.9793556,"(-73.979355600000005, 40.724533600000001)"
19,"323 EAST 8TH STREET, New York, NY",40.72538370000001,-73.979357,"(-73.979356999999993, 40.725383700000009)"
20,"307 EAST 8TH STREET, New York, NY",40.7256106,-73.9798624,"(-73.979862400000002, 40.725610600000003)"
21,"633 EAST 11TH STRET, New York, NY",40.727011,-73.97779399999999,"(-73.977793999999989, 40.727010999999997)"
22,"633 EAST 11TH STREET, New York, NY",40.727011,-73.97779399999999,"(-73.977793999999989, 40.727010999999997)"
23,"634 EAST 14TH STREET, New York, NY",40.7285626,-73.9766276,"(-73.9766276, 40.728562599999997)"
24,"626 EAST 14TH STREET, New York, NY",40.7287996,-73.9769061,"(-73.976906099999994, 40.728799600000002)"
25,"632 EAST 14TH STREET, New York, NY",40.7286844,-73.97665009999999,"(-73.976650099999986, 40.728684399999999)"
26,"162 EAST 2ND STREET, New York, NY",40.7228235,-73.98509,"(-73.98509, 40.722823499999997)"
27,"225 EAST 4TH STREET, New York, NY",40.7237738,-73.9830259,"(-73.983025900000001, 40.723773799999996)"
28,"513 EAST 5TH STREET, New York, NY",40.7247015,-73.9835768,"(-73.983576799999994, 40.724701500000002)"
29,"529 EAST 12TH STREET, New York, NY",40.728607000000004,-73.9799277,"(-73.979927700000005, 40.728607000000004)"
30,"527 EAST 12TH STREET, New York, NY",40.728722999999995,-73.9798859,"(-73.979885899999999, 40.728722999999995)"
31,"507 EAST 12TH STREET, New York, NY",40.7290188,-73.9807509,"(-73.980750900000004, 40.729018799999999)"
32,"95 AVENUE B, New York, NY",40.7245835,-73.9813934,"(-73.981393400000002, 40.724583500000001)"
33,"149 AVENUE C, New York, NY",40.7255667,-73.9779754,"(-73.977975400000005, 40.725566700000002)"
34,"504 EAST 6TH STREET, New York, NY",40.7251359,-73.9835796,"(-73.983579599999999, 40.725135899999998)"
35,"311 EAST 10TH STREET, New York, NY",40.7276715,-73.9812342,"(-73.981234200000003, 40.7276715)"
36,"533 EAST 13TH STREET, New York, NY",40.72923970000001,-73.9792682,"(-73.979268200000007, 40.729239700000008)"
37,"735 EAST 9TH STREET, New York, NY",40.72478220000001,-73.97635079999999,"(-73.976350799999992, 40.724782200000007)"
38,"226 EAST 2ND STREET, New York, NY",40.7217583,-73.98242900000001,"(-73.98242900000001, 40.721758299999998)"
39,"223-225 EAST 3RD STREET, New York, NY",40.72246989999999,-73.9819171,"(-73.981917100000004, 40.722469899999993)"
40,"283 EAST 4 STREET, New York, NY",40.7228301,-73.9807302,"(-73.980730199999996, 40.722830100000003)"
