StreetNum,StreetName,AptNum,ZipCode,Beds,Baths
85,8TH AVENUE ,4W,10011,0,1
217,WEST 14TH STREET ,4R,10011,1,1
365,WEST 20TH STREET ,2A,10011,1,1
221,WEST 21ST STREET ,4D,10011,1,1
246,WEST 16TH STREET ,4,10011,2,3
148,WEST 23RD STREET ,10J,10011,1,1
107,WEST 25TH STREET ,5A,10001,2,2
101,WEST 24TH STREET ,20B,10011,2,2
221,WEST 21ST STREET ,5C,10011,1,1
253,WEST 16TH STREET ,6E,10011,0,1
140,7TH AVENUE ,5E,10011,1,1
315,7TH AVENUE ,6A,10001,1,1
130,WEST 20TH STREET ,4D,10011,1,1
225,WEST 25TH STREET ,2A,10001,1,1
261,WEST 22ND STREET ,12,10011,1,1
332,WEST 19TH STREET ,DUPLEX-A,10011,2,2
201,WEST 17TH STREET ,4B,10011,3,3
140,7TH AVENUE ,5G,10011,1,1
328,WEST 23RD STREET,,10011,7,5
140,7TH AVENUE ,1G,10011,1,1
125,WEST 22ND STREET ,3A,10011,1,1
224,WEST 18TH STREET ,6C,10011,3,3
231,WEST 16TH STREET ,PHE,10011,2,2
252,7TH AVENUE ,8B,10001,1,1
315,WEST 23RD STREET ,6F,10011,2,2
334,WEST 22ND STREET ,28,10011,3,1
300,WEST 23RD STREET ,4ED,10011,3,3
365,WEST 20TH STREET ,9D,10011,1,1
320,WEST 19TH STREET ,4D,10011,1,1
225,WEST 25TH STREET ,5E,10001,1,1
231,WEST 20TH STREET,,10011,0,1
252,7TH AVENUE ,7T,10001,1,2
252,7TH AVENUE ,7Q,10001,1,2
252,7TH AVENUE ,7QT,10001,5,4
77,7TH AVENUE ,17M,10011,2,2
150,WEST 26TH STREET ,202,10001,2,3
148,WEST 23RD STREET,,10011,2,1
154,WEST 15TH STREET ,5A,10011,0,1
340,WEST 19TH STREET ,4,10011,2,1
119,WEST 22ND STREET ,2,10011,2,2
121,WEST 19TH STREET ,5C,10011,1,1
133,WEST 22ND STREET ,5D,10011,1,2
655,6TH AVENUE ,5K,10010,1,2
244,WEST 23RD STREET ,7D,10011,1,1
345,WEST 14TH STREET ,4A,10014,2,2
161,WEST 16TH STREET ,9C,10011,0,1
130,WEST 24TH STREET ,2A,10011,2,1
350,WEST 23RD STREET ,4B,10011,3,3
344,WEST 23RD STREET ,3C,10011,2,2
344,WEST 23RD STREET ,5D,10011,1,1
212,WEST 18TH STREET ,17BC,10011,4,6
101,WEST 24TH STREET ,9C,10011,1,2
170,WEST 23RD STREET ,6R,10011,1,1
345,WEST 14TH STREET ,PHB,10014,3,3
98,8TH AVENUE,,10011,4,4
655,6TH AVENUE ,3K,10010,1,2
151,WEST 21ST STREET ,1B,10011,2,2
212,WEST 18TH STREET ,9D,10011,2,2
250,WEST 24TH STREET ,3GW,10011,2,1
135,WEST 14TH STREET ,7,10011,2,2
160,7TH AVENUE,,10011,2,2
170,WEST 23RD STREET ,6H,10011,1,1
125,WEST 22ND STREET ,1A,10011,2,3
210,WEST 19TH STREET ,1G,10011,2,2
308,WEST 30TH STREET ,10A,10001,2,1
100,WEST 15TH STREET ,3B,10011,1,2
214,WEST 16TH STREET ,4E,10011,1,1
300,WEST 23RD STREET ,4I,10011,0,1
200,WEST 24TH STREET ,6A,10011,2,2
310,EAST 23RD STREET ,3G,10010,0,1
140,7TH AVENUE ,2R,10011,1,1
320,WEST 19TH STREET ,4B,10011,1,1
346,WEST 22ND STREET ,4,10011,1,2
120,WEST 29TH STREET ,3,10001,2,2
85,8TH AVENUE ,1G,10011,0,1
200,WEST 20TH STREET ,205,10011,0,1
310,EAST 23RD STREET  FRONT,1,10010,0,1
305-313,WEST 18TH STREET ,5F,10011,1,1
200,WEST 20TH STREET ,1509,10011,0,1
131,WEST 24TH STREET ,FL5/6,10011,5,3
115,WEST 15TH STREET ,4R,10011,1,1
201,WEST 16TH STREET ,10C,10011,0,1
110,WEST 25TH STREET ,11,10001,3,3
320,WEST 19TH STREET ,6F,10011,1,1
85,8TH AVENUE ,4F,10011,1,1
163-165,WEST 18 STREET ,9B,10011,2,2
345,WEST 21ST STREET ,3C,10011,1,1
170,WEST 23RD STREET ,2S,10011,0,1
101,WEST 24TH STREET ,20A,10011,2,2
181,7TH AVENUE ,6A,10011,0,1
261,WEST 28TH STREET ,3A,10001,2,2
85,8TH AVENUE ,1A,10011,0,1
212,WEST 18TH STREET,,10011,4,4
212,WEST 18TH STREET ,14E/15D,10011,4,4
133,WEST 22ND STREET ,6K,10011,1,1
201,WEST 21ST STREET ,5J,10011,1,1
355,WEST 29TH STREET ,1A,10001,1,1
130,WEST 20TH STREET ,9A,10011,2,2
315,7TH AVENUE ,PHC,10001,1,2
305,WEST 16TH STREET ,5K,10011,2,2
147,WEST 22ND STREET ,3N,10011,2,1
159,WEST 24TH STREET ,1A,10011,1,2
280,WEST 25TH STREET,,10001,5,4
110,WEST 25TH STREET ,6,10001,3,3
112,WEST 18TH STREET ,18-5B,10011,2,2
214,WEST 17TH STREET ,1A,10011,3,3
100,WEST 18TH STREET ,PHA,10011,3,4
151,WEST 17TH STREET ,2D,10011,3,3
231,WEST 21ST STREET ,1B,10011,1,1
133,WEST 22ND STREET ,9F,10011,2,2
250,WEST 15TH STREET ,6F,10011,1,1
144,WEST 18TH STREET ,PHE,10011,2,3
315,7TH AVENUE ,PHD,10001,1,2
144,WEST 18TH STREET  PH,E,10011,2,3
77,7TH AVENUE ,15L,10011,1,1
142,WEST 26TH STREET ,PHB,10001,3,2
333,WEST 21ST STREET ,FW,10011,1,1
360,WEST 22ND STREET,,10011,1,1
161,WEST 15TH STREET ,6C,10011,2,2
308,WEST 30TH STREET ,8B,10001,2,1
315,7TH AVENUE ,10A,10001,1,1
140,WEST 22ND STREET ,10C,10011,1,2
310,EAST 23RD STREET ,5J,10010,0,1
201,WEST 16TH STREET ,4B,10011,1,1
246,WEST 17TH STREET ,3D,10011,2,3
360,WEST 22ND STREET ,16E,10011,3,2
270,WEST 19TH STREET ,5B,10011,1,2
300,WEST 23RD STREET ,15F,10011,0,1
201,WEST 16TH STREET ,4A,10011,2,2
261,WEST 22ND STREET ,1,10011,2,1
252,7TH AVENUE ,10Y,10001,1,1
241,WEST 23RD STREET ,6A,10011,2,2
252,WEST 30TH STREET ,3B,10001,3,2
234,WEST 20TH STREET ,1B,10011,3,3
200,WEST 20TH STREET ,1512,10011,0,1
252,7TH AVENUE ,3I,10001,3,3
77,7TH AVENUE ,5J,10011,1,1
252,7TH AVENUE ,8H,10001,3,3
300,WEST 23RD STREET ,16N,10011,0,1
224,WEST 18TH STREET  PENTHOUSE,B,10011,3,3
278,WEST 25TH STREET,,10001,5,4
124,WEST 23RD STREET ,8A,10011,2,2
357,WEST 29TH STREET ,2B,10001,2,2
300,WEST 23RD STREET ,15K,10011,1,1
203,WEST 22ND STREET,,10011,5,5
320,WEST 17TH STREET ,PH2,10011,1,1
201,WEST 21ST STREET ,4B,10011,0,1
165,WEST 20TH STREET ,2A,10011,0,1
116,WEST 29TH STREET ,6C,10001,3,3
309,WEST 20TH STREET ,2R,10011,2,2
344,WEST 23RD STREET ,3A,10011,2,2
360,WEST 22ND STREET ,6A,10011,1,1
131,WEST 28TH STREET ,7A,10001,1,1
345,WEST 14TH STREET ,5A,10014,2,2
130,WEST 20TH STREET ,6D,10011,1,1
101,WEST 24TH STREET ,PH1C,10011,3,3
154,WEST 18TH STREET ,6A,10011,1,1
