Manhattan Parks,GeoCode,
"Bryant Park, New York","(40.7535965,-73.9832326)",
"Madison Square Park, New York","(40.7425999,-73.9877701)",
"The Battery, New York","(40.7032775,-74.0170279)",
"The High Line, New York","(40.7479925,-74.0047649)",
"Washington Square Park, New York","(40.7308228,-73.997332)",
"500 Central Park West, New York","(40.8003751,-73.958433)",
"450 Central Park West, New York","(40.797245,-73.9606312)",
"400 Central Park West, New York","(40.7940232,-73.9632109)",
"350 Central Park West, New York","(40.7906666,-73.9658766)",
"300 Central Park West, New York","(40.7882884,-73.9674607)",
"250 Central Park West, New York","(40.7844517,-73.969943)",
"200 Central Park West, New York","(40.7812654,-73.9738201)",
"150 Central Park West, New York","(40.7783756,-73.9744001)",
"100 Central Park West, New York","(40.7742511,-73.9776121)",
"50 Central Park West, New York","(40.7718092,-73.9796283)",
"5 Central Park West, New York","(40.7689678,-73.9812681)",
"50 Central Park South, New York","(40.7653266,-73.9760929)",
"100 Central Park South, New York","(40.7655851,-73.9765899)",
"150 Central Park South, New York","(40.7660708,-73.9779146)",
"200 Central Park South, New York","(40.7666871,-73.9795594)",
"750 5th Avenue, New York","(40.7634351,-73.9740497)",
"800 5th Avenue, New York","(40.7657125,-73.9715764)",
"850 5th Avenue, New York","(40.7687023,-73.9694351)",
"900 5th Avenue, New York","(40.7718918,-73.9672362)",
"950 5th Avenue, New York","(40.7750262,-73.9647975)",
"1000 5th Avenue, New York","(40.7791655,-73.9629278)",
"1050 5th Avenue, New York","(40.7816743,-73.9600313)",
"1100 5th Avenue, New York","(40.784748,-73.957566)",
"1150 5th Avenue, New York","(40.7879467,-73.9552923)",
"1200 5th Avenue, New York","(40.7912556,-73.953147)",
"1250 5th Avenue, New York","(40.7946558,-73.9505396)",
"1300 5th Avenue, New York","(40.7971931,-73.949262)",
"1 Central Park North, New York","(40.7972293,-73.9499938)",
"51 Central Park North, New York","(40.7981733,-73.951678)",
"101 Central Park North, New York","(40.7986897,-73.9529638)",
"151 Central Park North, New York","(40.7993374,-73.9544988)",
"201 Central Park North, New York","(40.7994755,-73.955377)",
"249 Central Park North, New York","(40.8005419,-73.9573165)",
"1 River Drive, New York","(40.7804427,-73.9852756)",
"50 River Drive, New York","(42.0578829,-73.92234)",
"150 River Drive, New York","(40.7906722,-73.9793528)",
"300 River Drive, New York","(44.9290917,-75.0524574)",
"450 River Drive, New York","(40.737824,-73.9748078)",
"550 River Drive, New York","(40.736485,-73.9746764)",
